ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code
English,English,,,,stan1293,
Portuguese,Portuguese,,,,port1283,
French,French,,,,stan1290,
Akuntsu,Akuntsu,,-12.8322,-60.9716,akun1241,aqz
Guajajara,Guajajara,,-4.69461,-45.7081,guaj1255,gub
Kaapor,Ka'apor,,-2.46455,-46.2204,urub1250,urb
Karo,Karo,,-10.3342,-61.5691,karo1305,arr
Makurap,Makurap,,-11.8701,-64.3201,maku1278,mpu
Munduruku,Mundurukú,,-8.41095,-57.691,mund1330,myu
Teko,Teko,,3.23694,-52.3699,emer1243,eme
Tupinamba,Tupinambá,,-8.1055,-34.887,tupi1273,tpn
